categoria_1,categoria_2,categoria_3,key1,value1,key2,value2,key3,value3,key4,value4,key5,value5
Serveis socials especialitzats,Serveis inscrits RESES: fora Cartera 2009-2010,Casal per a altres col·lectius,,,,,,,,,,
Societat. Ciutadania. Famílies,Equipaments cívics,Casals de gent gran,,,,,,,,,,
Societat. Ciutadania. Famílies,Equipaments cívics,Cases del mar,,,,,,,,,,
Societat. Ciutadania. Famílies,Equipaments cívics,Hotels d'entitats,,,,,,,,,,
Societat. Ciutadania. Famílies,Equipaments cívics,Ludoteques,,,,,,,,,,
Societat. Ciutadania. Famílies,Oficines de Benestar Social i Família,,,,,,,,,,,
Societat. Ciutadania. Famílies,Oficines d'informació a les dones,,,,,,,,,,,
Societat. Ciutadania. Famílies,Punts d'atenció ciutadana,,,,,,,,,,,
Societat. Ciutadania. Famílies,Serveis d'Informació Juvenil,Oficina Jove,,,,,,,,,,
Societat. Ciutadania. Famílies,Serveis d'Informació Juvenil,Punt d'Informació Juvenil amb Assessoria/es,,,,,,,,,,
Societat. Ciutadania. Famílies,Serveis d'Informació Juvenil,Punt d'Informació Juvenil sense Assessoria/es,,,,,,,,,,
Tecnologia. Innovació,Punt TIC,,,,,,,,,,,
Treball,Centres d'innovació i formació ocupacional (CIFO),,,,,,,,,,,
Treball,Oficines de treball,,,,,,,,,,,
Turisme,Albergs de joventut,,,,,,,,,,,
Turisme,Oficines de Turisme de la Xarxa,Altres Oficines de Turisme,,,,,,,,,,
Turisme,Oficines de Turisme de la Xarxa,Oficines de Turisme de la Generalitat de Catalunya,,,,,,,,,,
Universitats,Facultats i escoles,Escoles,,,,,,,,,,
Universitats,Facultats i escoles,Facultats,,,,,,,,,,
Universitats,Universitats,Públiques,,,,,,,,,,
Educació. Formació,Ensenyaments de règim especial,Arts plàstiques i disseny de grau mitjà,,,,,,,,,,
Educació. Formació,Ensenyaments de règim especial,Tècnic esportiu de grau superior,,,,,,,,,,
Esports. Lleure,Instal·lacions esportives,Carril i circuit de bicicleta,leisure,track,sport,,,,,,,
Esports. Lleure,Instal·lacions esportives,Pista d'esquaix,leisure,pitch,sport,squash,,,,,,
Universitats,Instituts universitaris de recerca,,,,,,,,,,,
Universitats,Universitats,No presencials,,,,,,,,,,
Universitats,Universitats,Privades,,,,,,,,,,
Associacionisme. Participació,Hotels d'entitats,,amenity,community_centre,,,,,,,,
